agency,station_id,datetime,timezone,Pres_Air_Inst_1Hour_USGS_mm_hg,
USGS,14105700,11/4/22 17:00,PDT,751,A
USGS,14105700,11/4/22 18:00,PDT,751,A
USGS,14105700,11/4/22 19:00,PDT,751,A
USGS,14105700,11/4/22 20:00,PDT,751,A
USGS,14105700,11/4/22 21:00,PDT,751,A
USGS,14105700,11/4/22 22:00,PDT,750,A
USGS,14105700,11/4/22 23:00,PDT,748,A
USGS,14105700,11/5/22 0:00,PDT,747,A
USGS,14105700,11/5/22 1:00,PDT,746,A
USGS,14105700,11/5/22 2:00,PDT,748,A
USGS,14105700,11/5/22 3:00,PDT,751,A
USGS,14105700,11/5/22 4:00,PDT,752,A
USGS,14105700,11/5/22 5:00,PDT,753,A
USGS,14105700,11/5/22 6:00,PDT,754,A
USGS,14105700,11/5/22 7:00,PDT,755,A
USGS,14105700,11/5/22 8:00,PDT,756,A
USGS,14105700,11/5/22 9:00,PDT,756,A
USGS,14105700,11/5/22 10:00,PDT,756,A
USGS,14105700,11/5/22 11:00,PDT,756,A
USGS,14105700,11/5/22 12:00,PDT,757,A
USGS,14105700,11/5/22 13:00,PDT,757,A
USGS,14105700,11/5/22 14:00,PDT,757,A
USGS,14105700,11/5/22 15:00,PDT,757,A
USGS,14105700,11/5/22 16:00,PDT,758,A
USGS,14105700,11/5/22 17:00,PDT,758,A
USGS,14105700,11/5/22 18:00,PDT,758,A
USGS,14105700,11/5/22 19:00,PDT,758,A
USGS,14105700,11/5/22 20:00,PDT,758,A
USGS,14105700,11/5/22 21:00,PDT,758,A
USGS,14105700,11/5/22 22:00,PDT,758,A
USGS,14105700,11/5/22 23:00,PDT,758,A
USGS,14105700,11/6/22 0:00,PDT,758,A
USGS,14105700,11/6/22 1:00,PDT,757,A
USGS,14105700,11/6/22 1:00,PST,757,A
USGS,14105700,11/6/22 2:00,PST,756,A
USGS,14105700,11/6/22 3:00,PST,755,A
USGS,14105700,11/6/22 4:00,PST,754,A
USGS,14105700,11/6/22 5:00,PST,753,A
USGS,14105700,11/6/22 6:00,PST,752,A
USGS,14105700,11/6/22 7:00,PST,751,A
USGS,14105700,11/6/22 8:00,PST,750,A
USGS,14105700,11/6/22 9:00,PST,750,A
USGS,14105700,11/6/22 10:00,PST,750,A
USGS,14105700,11/6/22 11:00,PST,750,A
USGS,14105700,11/6/22 12:00,PST,749,A
USGS,14105700,11/6/22 13:00,PST,749,A
USGS,14105700,11/6/22 14:00,PST,748,A
USGS,14105700,11/6/22 15:00,PST,747,A
USGS,14105700,11/6/22 16:00,PST,746,A
USGS,14105700,11/6/22 17:00,PST,746,A
USGS,14105700,11/6/22 18:00,PST,745,A
USGS,14105700,11/6/22 19:00,PST,745,A
USGS,14105700,11/6/22 20:00,PST,745,A
USGS,14105700,11/6/22 21:00,PST,745,A
USGS,14105700,11/6/22 22:00,PST,745,A
USGS,14105700,11/6/22 23:00,PST,745,A
USGS,14105700,11/7/22 0:00,PST,745,A
USGS,14105700,11/7/22 1:00,PST,746,A
USGS,14105700,11/7/22 2:00,PST,746,A
USGS,14105700,11/7/22 3:00,PST,747,A
USGS,14105700,11/7/22 4:00,PST,747,A
USGS,14105700,11/7/22 5:00,PST,748,A
USGS,14105700,11/7/22 6:00,PST,748,A
USGS,14105700,11/7/22 7:00,PST,749,A
USGS,14105700,11/7/22 8:00,PST,749,A
USGS,14105700,11/7/22 9:00,PST,750,A
USGS,14105700,11/7/22 10:00,PST,750,A
USGS,14105700,11/7/22 11:00,PST,750,A
USGS,14105700,11/7/22 12:00,PST,750,A
USGS,14105700,11/7/22 13:00,PST,750,A
USGS,14105700,11/7/22 14:00,PST,750,A
USGS,14105700,11/7/22 15:00,PST,751,A
USGS,14105700,11/7/22 16:00,PST,751,A
USGS,14105700,11/7/22 17:00,PST,751,A
USGS,14105700,11/7/22 18:00,PST,752,A
USGS,14105700,11/7/22 19:00,PST,752,A
USGS,14105700,11/7/22 20:00,PST,752,A
USGS,14105700,11/7/22 21:00,PST,753,A
USGS,14105700,11/7/22 22:00,PST,753,A
USGS,14105700,11/7/22 23:00,PST,753,A
USGS,14105700,11/8/22 0:00,PST,754,A
USGS,14105700,11/8/22 1:00,PST,754,A
USGS,14105700,11/8/22 2:00,PST,754,A
USGS,14105700,11/8/22 3:00,PST,754,A
USGS,14105700,11/8/22 4:00,PST,755,A
USGS,14105700,11/8/22 5:00,PST,755,A
USGS,14105700,11/8/22 6:00,PST,756,A
USGS,14105700,11/8/22 7:00,PST,756,A
USGS,14105700,11/8/22 8:00,PST,756,A
USGS,14105700,11/8/22 9:00,PST,757,A
USGS,14105700,11/8/22 10:00,PST,757,A
USGS,14105700,11/8/22 11:00,PST,756,A
USGS,14105700,11/8/22 12:00,PST,756,A
USGS,14105700,11/8/22 13:00,PST,755,A
USGS,14105700,11/8/22 14:00,PST,755,A
USGS,14105700,11/8/22 15:00,PST,755,A
USGS,14105700,11/8/22 16:00,PST,756,A
USGS,14105700,11/8/22 17:00,PST,756,A
USGS,14105700,11/8/22 18:00,PST,755,A
USGS,14105700,11/8/22 19:00,PST,756,A
USGS,14105700,11/8/22 20:00,PST,756,A
USGS,14105700,11/8/22 21:00,PST,756,A
USGS,14105700,11/8/22 22:00,PST,756,A
USGS,14105700,11/8/22 23:00,PST,756,A
USGS,14105700,11/9/22 0:00,PST,756,A
USGS,14105700,11/9/22 1:00,PST,756,A
USGS,14105700,11/9/22 2:00,PST,756,A
USGS,14105700,11/9/22 3:00,PST,757,A
USGS,14105700,11/9/22 4:00,PST,757,A
USGS,14105700,11/9/22 5:00,PST,758,A
USGS,14105700,11/9/22 6:00,PST,758,A
USGS,14105700,11/9/22 7:00,PST,759,A
USGS,14105700,11/9/22 8:00,PST,759,A
USGS,14105700,11/9/22 9:00,PST,760,A
USGS,14105700,11/9/22 10:00,PST,760,A
USGS,14105700,11/9/22 11:00,PST,760,A
USGS,14105700,11/9/22 12:00,PST,760,A
USGS,14105700,11/9/22 13:00,PST,760,A
USGS,14105700,11/9/22 14:00,PST,760,A
USGS,14105700,11/9/22 15:00,PST,761,A
USGS,14105700,11/9/22 16:00,PST,761,A
USGS,14105700,11/9/22 17:00,PST,762,A
USGS,14105700,11/9/22 18:00,PST,763,A
USGS,14105700,11/9/22 19:00,PST,764,A
USGS,14105700,11/9/22 20:00,PST,764,A
USGS,14105700,11/9/22 21:00,PST,765,A
USGS,14105700,11/9/22 22:00,PST,765,A
USGS,14105700,11/9/22 23:00,PST,766,A
USGS,14105700,11/10/22 0:00,PST,766,A
USGS,14105700,11/10/22 1:00,PST,766,A
USGS,14105700,11/10/22 2:00,PST,766,A
USGS,14105700,11/10/22 3:00,PST,767,A
USGS,14105700,11/10/22 4:00,PST,767,A
USGS,14105700,11/10/22 5:00,PST,767,A
USGS,14105700,11/10/22 6:00,PST,767,A
USGS,14105700,11/10/22 7:00,PST,768,A
USGS,14105700,11/10/22 8:00,PST,769,A
USGS,14105700,11/10/22 9:00,PST,769,A
USGS,14105700,11/10/22 10:00,PST,769,A
USGS,14105700,11/10/22 11:00,PST,768,A
USGS,14105700,11/10/22 12:00,PST,768,A
USGS,14105700,11/10/22 13:00,PST,768,A
USGS,14105700,11/10/22 14:00,PST,767,A
USGS,14105700,11/10/22 15:00,PST,767,A
USGS,14105700,11/10/22 16:00,PST,767,A
USGS,14105700,11/10/22 17:00,PST,767,A
USGS,14105700,11/10/22 18:00,PST,767,A
USGS,14105700,11/10/22 19:00,PST,767,A
USGS,14105700,11/10/22 20:00,PST,768,A
USGS,14105700,11/10/22 21:00,PST,768,A
USGS,14105700,11/10/22 22:00,PST,768,A
USGS,14105700,11/10/22 23:00,PST,768,A
USGS,14105700,11/11/22 0:00,PST,768,A
USGS,14105700,11/11/22 1:00,PST,768,A
USGS,14105700,11/11/22 2:00,PST,768,A
USGS,14105700,11/11/22 3:00,PST,768,A
USGS,14105700,11/11/22 4:00,PST,767,A
USGS,14105700,11/11/22 5:00,PST,767,A
USGS,14105700,11/11/22 6:00,PST,767,A
USGS,14105700,11/11/22 7:00,PST,767,A
USGS,14105700,11/11/22 8:00,PST,767,A
USGS,14105700,11/11/22 9:00,PST,767,A
USGS,14105700,11/11/22 10:00,PST,767,A
USGS,14105700,11/11/22 11:00,PST,767,A
USGS,14105700,11/11/22 12:00,PST,766,A
USGS,14105700,11/11/22 13:00,PST,766,A
USGS,14105700,11/11/22 14:00,PST,766,A
USGS,14105700,11/11/22 15:00,PST,765,A
USGS,14105700,11/11/22 16:00,PST,765,A
USGS,14105700,11/11/22 17:00,PST,765,A
USGS,14105700,11/11/22 18:00,PST,765,A
USGS,14105700,11/11/22 19:00,PST,765,A
USGS,14105700,11/11/22 20:00,PST,765,A
USGS,14105700,11/11/22 21:00,PST,765,A
USGS,14105700,11/11/22 22:00,PST,765,A
USGS,14105700,11/11/22 23:00,PST,765,A
USGS,14105700,11/12/22 0:00,PST,766,A
USGS,14105700,11/12/22 1:00,PST,765,A
USGS,14105700,11/12/22 2:00,PST,766,A
USGS,14105700,11/12/22 3:00,PST,766,A
USGS,14105700,11/12/22 4:00,PST,766,A
USGS,14105700,11/12/22 5:00,PST,766,A
USGS,14105700,11/12/22 6:00,PST,766,A
USGS,14105700,11/12/22 7:00,PST,766,A
USGS,14105700,11/12/22 8:00,PST,766,A
USGS,14105700,11/12/22 9:00,PST,766,A
USGS,14105700,11/12/22 10:00,PST,766,A
USGS,14105700,11/12/22 11:00,PST,766,A
USGS,14105700,11/12/22 12:00,PST,766,A
USGS,14105700,11/12/22 13:00,PST,766,A
USGS,14105700,11/12/22 14:00,PST,766,A
USGS,14105700,11/12/22 15:00,PST,766,A
USGS,14105700,11/12/22 16:00,PST,766,A
USGS,14105700,11/12/22 17:00,PST,766,A
USGS,14105700,11/12/22 18:00,PST,766,A
USGS,14105700,11/12/22 19:00,PST,767,A
USGS,14105700,11/12/22 20:00,PST,767,A
USGS,14105700,11/12/22 21:00,PST,767,A
USGS,14105700,11/12/22 22:00,PST,768,A
USGS,14105700,11/12/22 23:00,PST,768,A
USGS,14105700,11/13/22 0:00,PST,768,A
USGS,14105700,11/13/22 1:00,PST,768,A
USGS,14105700,11/13/22 2:00,PST,768,A
USGS,14105700,11/13/22 3:00,PST,769,A
USGS,14105700,11/13/22 4:00,PST,769,A
USGS,14105700,11/13/22 5:00,PST,769,A
USGS,14105700,11/13/22 6:00,PST,769,A
USGS,14105700,11/13/22 7:00,PST,770,A
USGS,14105700,11/13/22 8:00,PST,770,A
USGS,14105700,11/13/22 9:00,PST,770,A
USGS,14105700,11/13/22 10:00,PST,770,A
USGS,14105700,11/13/22 11:00,PST,770,A
USGS,14105700,11/13/22 12:00,PST,769,A
USGS,14105700,11/13/22 13:00,PST,769,A
USGS,14105700,11/13/22 14:00,PST,769,A
USGS,14105700,11/13/22 15:00,PST,769,A
USGS,14105700,11/13/22 16:00,PST,769,A
USGS,14105700,11/13/22 17:00,PST,769,A
USGS,14105700,11/13/22 18:00,PST,770,A
USGS,14105700,11/13/22 19:00,PST,770,A
USGS,14105700,11/13/22 20:00,PST,771,A
USGS,14105700,11/13/22 21:00,PST,771,A
USGS,14105700,11/13/22 22:00,PST,771,A
USGS,14105700,11/13/22 23:00,PST,771,A
USGS,14105700,11/14/22 0:00,PST,771,A
USGS,14105700,11/14/22 1:00,PST,771,A
USGS,14105700,11/14/22 2:00,PST,772,A
USGS,14105700,11/14/22 3:00,PST,772,A
USGS,14105700,11/14/22 4:00,PST,772,A
USGS,14105700,11/14/22 5:00,PST,772,A
USGS,14105700,11/14/22 6:00,PST,772,A
USGS,14105700,11/14/22 7:00,PST,773,A
USGS,14105700,11/14/22 8:00,PST,773,A
USGS,14105700,11/14/22 9:00,PST,773,A
USGS,14105700,11/14/22 10:00,PST,774,A
USGS,14105700,11/14/22 11:00,PST,774,A
USGS,14105700,11/14/22 12:00,PST,774,A
USGS,14105700,11/14/22 13:00,PST,773,A
USGS,14105700,11/14/22 14:00,PST,773,A
USGS,14105700,11/14/22 15:00,PST,773,A
USGS,14105700,11/14/22 16:00,PST,774,A
USGS,14105700,11/14/22 17:00,PST,774,A
USGS,14105700,11/14/22 18:00,PST,774,A
USGS,14105700,11/14/22 19:00,PST,774,A
USGS,14105700,11/14/22 20:00,PST,775,A
USGS,14105700,11/14/22 21:00,PST,775,A
USGS,14105700,11/14/22 22:00,PST,775,A
USGS,14105700,11/14/22 23:00,PST,775,A
USGS,14105700,11/15/22 0:00,PST,776,A
USGS,14105700,11/15/22 1:00,PST,776,A
USGS,14105700,11/15/22 2:00,PST,776,A
USGS,14105700,11/15/22 3:00,PST,776,A
USGS,14105700,11/15/22 4:00,PST,776,A
USGS,14105700,11/15/22 5:00,PST,777,A
USGS,14105700,11/15/22 6:00,PST,777,A
USGS,14105700,11/15/22 7:00,PST,777,A
USGS,14105700,11/15/22 8:00,PST,777,A
USGS,14105700,11/15/22 9:00,PST,777,A
USGS,14105700,11/15/22 10:00,PST,777,A
USGS,14105700,11/15/22 11:00,PST,778,A
USGS,14105700,11/15/22 12:00,PST,777,A
USGS,14105700,11/15/22 13:00,PST,777,A
USGS,14105700,11/15/22 14:00,PST,777,A
USGS,14105700,11/15/22 15:00,PST,777,A
USGS,14105700,11/15/22 16:00,PST,777,A
USGS,14105700,11/15/22 17:00,PST,777,A
USGS,14105700,11/15/22 18:00,PST,778,A
USGS,14105700,11/15/22 19:00,PST,778,A
USGS,14105700,11/15/22 20:00,PST,778,A
USGS,14105700,11/15/22 21:00,PST,779,A
USGS,14105700,11/15/22 22:00,PST,779,A
USGS,14105700,11/15/22 23:00,PST,780,A
USGS,14105700,11/16/22 0:00,PST,780,A
USGS,14105700,11/16/22 1:00,PST,780,A
USGS,14105700,11/16/22 2:00,PST,780,A
USGS,14105700,11/16/22 3:00,PST,780,A
USGS,14105700,11/16/22 4:00,PST,780,A
USGS,14105700,11/16/22 5:00,PST,780,A
USGS,14105700,11/16/22 6:00,PST,780,A
USGS,14105700,11/16/22 7:00,PST,780,A
USGS,14105700,11/16/22 8:00,PST,780,A
USGS,14105700,11/16/22 9:00,PST,780,A
USGS,14105700,11/16/22 10:00,PST,780,A
USGS,14105700,11/16/22 11:00,PST,779,A
USGS,14105700,11/16/22 12:00,PST,779,A
USGS,14105700,11/16/22 13:00,PST,778,A
USGS,14105700,11/16/22 14:00,PST,777,A
USGS,14105700,11/16/22 15:00,PST,777,A
USGS,14105700,11/16/22 16:00,PST,776,A
USGS,14105700,11/16/22 17:00,PST,776,A
USGS,14105700,11/16/22 18:00,PST,776,A
USGS,14105700,11/16/22 19:00,PST,776,A
USGS,14105700,11/16/22 20:00,PST,776,A
USGS,14105700,11/16/22 21:00,PST,776,A
USGS,14105700,11/16/22 22:00,PST,777,A
USGS,14105700,11/16/22 23:00,PST,777,A
USGS,14105700,11/17/22 0:00,PST,776,A
USGS,14105700,11/17/22 1:00,PST,777,A
USGS,14105700,11/17/22 2:00,PST,776,A
USGS,14105700,11/17/22 3:00,PST,776,A
USGS,14105700,11/17/22 4:00,PST,776,A
USGS,14105700,11/17/22 5:00,PST,776,A
USGS,14105700,11/17/22 6:00,PST,776,A
USGS,14105700,11/17/22 7:00,PST,776,A
USGS,14105700,11/17/22 8:00,PST,776,A
USGS,14105700,11/17/22 9:00,PST,776,A
USGS,14105700,11/17/22 10:00,PST,776,A
USGS,14105700,11/17/22 11:00,PST,776,A
USGS,14105700,11/17/22 12:00,PST,776,A
USGS,14105700,11/17/22 13:00,PST,776,A
USGS,14105700,11/17/22 14:00,PST,775,A
USGS,14105700,11/17/22 15:00,PST,775,A
USGS,14105700,11/17/22 16:00,PST,775,A
USGS,14105700,11/17/22 17:00,PST,775,A
USGS,14105700,11/17/22 18:00,PST,775,A
USGS,14105700,11/17/22 19:00,PST,775,A
USGS,14105700,11/17/22 20:00,PST,776,A
USGS,14105700,11/17/22 21:00,PST,776,A
USGS,14105700,11/17/22 22:00,PST,776,A
USGS,14105700,11/17/22 23:00,PST,776,A
USGS,14105700,11/18/22 0:00,PST,776,A
USGS,14105700,11/18/22 1:00,PST,776,A
USGS,14105700,11/18/22 2:00,PST,776,A
USGS,14105700,11/18/22 3:00,PST,776,A
USGS,14105700,11/18/22 4:00,PST,776,A
USGS,14105700,11/18/22 5:00,PST,776,A
USGS,14105700,11/18/22 6:00,PST,776,A
USGS,14105700,11/18/22 7:00,PST,776,A
USGS,14105700,11/18/22 8:00,PST,777,A
USGS,14105700,11/18/22 9:00,PST,777,A
USGS,14105700,11/18/22 10:00,PST,777,A
USGS,14105700,11/18/22 11:00,PST,777,A
USGS,14105700,11/18/22 12:00,PST,776,A
USGS,14105700,11/18/22 13:00,PST,775,A
USGS,14105700,11/18/22 14:00,PST,775,A
USGS,14105700,11/18/22 15:00,PST,774,A
USGS,14105700,11/18/22 16:00,PST,774,A
USGS,14105700,11/18/22 17:00,PST,775,A
USGS,14105700,11/18/22 18:00,PST,775,A
USGS,14105700,11/18/22 19:00,PST,775,A
USGS,14105700,11/18/22 20:00,PST,775,A
USGS,14105700,11/18/22 21:00,PST,775,A
USGS,14105700,11/18/22 22:00,PST,775,A
USGS,14105700,11/18/22 23:00,PST,775,A
USGS,14105700,11/19/22 0:00,PST,775,A
USGS,14105700,11/19/22 1:00,PST,775,A
USGS,14105700,11/19/22 2:00,PST,775,A
USGS,14105700,11/19/22 3:00,PST,775,A
USGS,14105700,11/19/22 4:00,PST,775,A
USGS,14105700,11/19/22 5:00,PST,775,A
USGS,14105700,11/19/22 6:00,PST,774,A
USGS,14105700,11/19/22 7:00,PST,774,A
USGS,14105700,11/19/22 8:00,PST,774,A
USGS,14105700,11/19/22 9:00,PST,774,A
USGS,14105700,11/19/22 10:00,PST,774,A
USGS,14105700,11/19/22 11:00,PST,774,A
USGS,14105700,11/19/22 12:00,PST,773,A
USGS,14105700,11/19/22 13:00,PST,772,A
USGS,14105700,11/19/22 14:00,PST,772,A
USGS,14105700,11/19/22 15:00,PST,771,A
USGS,14105700,11/19/22 16:00,PST,771,A
USGS,14105700,11/19/22 17:00,PST,771,A
USGS,14105700,11/19/22 18:00,PST,772,A
USGS,14105700,11/19/22 19:00,PST,772,A
USGS,14105700,11/19/22 20:00,PST,772,A
USGS,14105700,11/19/22 21:00,PST,772,A
USGS,14105700,11/19/22 22:00,PST,772,A
USGS,14105700,11/19/22 23:00,PST,772,A
USGS,14105700,11/20/22 0:00,PST,772,A
USGS,14105700,11/20/22 1:00,PST,772,A
USGS,14105700,11/20/22 2:00,PST,772,A
USGS,14105700,11/20/22 3:00,PST,772,A
USGS,14105700,11/20/22 4:00,PST,772,A
USGS,14105700,11/20/22 5:00,PST,772,A
USGS,14105700,11/20/22 6:00,PST,772,A
USGS,14105700,11/20/22 7:00,PST,772,A
USGS,14105700,11/20/22 8:00,PST,773,A
USGS,14105700,11/20/22 9:00,PST,773,A
USGS,14105700,11/20/22 10:00,PST,773,A
USGS,14105700,11/20/22 11:00,PST,773,A
USGS,14105700,11/20/22 12:00,PST,772,A
USGS,14105700,11/20/22 13:00,PST,772,A
USGS,14105700,11/20/22 14:00,PST,771,A
USGS,14105700,11/20/22 15:00,PST,771,A
USGS,14105700,11/20/22 16:00,PST,771,A
USGS,14105700,11/20/22 17:00,PST,771,A
USGS,14105700,11/20/22 18:00,PST,771,A
USGS,14105700,11/20/22 19:00,PST,771,A
USGS,14105700,11/20/22 20:00,PST,771,A
USGS,14105700,11/20/22 21:00,PST,771,A
USGS,14105700,11/20/22 22:00,PST,771,A
USGS,14105700,11/20/22 23:00,PST,771,A
USGS,14105700,11/21/22 0:00,PST,771,A
USGS,14105700,11/21/22 1:00,PST,771,A
USGS,14105700,11/21/22 2:00,PST,771,A
USGS,14105700,11/21/22 3:00,PST,771,A
USGS,14105700,11/21/22 4:00,PST,771,A
USGS,14105700,11/21/22 5:00,PST,771,A
USGS,14105700,11/21/22 6:00,PST,771,A
USGS,14105700,11/21/22 7:00,PST,771,A
USGS,14105700,11/21/22 8:00,PST,772,A
USGS,14105700,11/21/22 9:00,PST,772,A
USGS,14105700,11/21/22 10:00,PST,772,A
USGS,14105700,11/21/22 11:00,PST,771,A
USGS,14105700,11/21/22 12:00,PST,771,A
USGS,14105700,11/21/22 13:00,PST,770,A
USGS,14105700,11/21/22 14:00,PST,770,A
USGS,14105700,11/21/22 15:00,PST,770,A
USGS,14105700,11/21/22 16:00,PST,770,A
USGS,14105700,11/21/22 17:00,PST,770,A
USGS,14105700,11/21/22 18:00,PST,770,A
USGS,14105700,11/21/22 19:00,PST,770,A
USGS,14105700,11/21/22 20:00,PST,769,A
USGS,14105700,11/21/22 21:00,PST,769,A
USGS,14105700,11/21/22 22:00,PST,769,A
USGS,14105700,11/21/22 23:00,PST,769,A
USGS,14105700,11/22/22 0:00,PST,769,A
USGS,14105700,11/22/22 1:00,PST,768,A
USGS,14105700,11/22/22 2:00,PST,768,A
USGS,14105700,11/22/22 3:00,PST,767,A
USGS,14105700,11/22/22 4:00,PST,767,A
USGS,14105700,11/22/22 5:00,PST,766,A
USGS,14105700,11/22/22 6:00,PST,766,A
USGS,14105700,11/22/22 7:00,PST,765,A
USGS,14105700,11/22/22 8:00,PST,765,A
USGS,14105700,11/22/22 9:00,PST,764,A
USGS,14105700,11/22/22 10:00,PST,763,A
USGS,14105700,11/22/22 11:00,PST,762,A
USGS,14105700,11/22/22 12:00,PST,759,A
USGS,14105700,11/22/22 13:00,PST,759,A
USGS,14105700,11/22/22 14:00,PST,758,A
USGS,14105700,11/22/22 15:00,PST,759,A
USGS,14105700,11/22/22 16:00,PST,759,A
USGS,14105700,11/22/22 17:00,PST,759,A
USGS,14105700,11/22/22 18:00,PST,760,A
USGS,14105700,11/22/22 19:00,PST,760,A
USGS,14105700,11/22/22 20:00,PST,761,A
USGS,14105700,11/22/22 21:00,PST,762,A
USGS,14105700,11/22/22 22:00,PST,762,A
USGS,14105700,11/22/22 23:00,PST,764,A
USGS,14105700,11/23/22 0:00,PST,764,A
USGS,14105700,11/23/22 1:00,PST,765,A
USGS,14105700,11/23/22 2:00,PST,766,A
USGS,14105700,11/23/22 3:00,PST,766,A
USGS,14105700,11/23/22 4:00,PST,766,A
USGS,14105700,11/23/22 5:00,PST,767,A
USGS,14105700,11/23/22 6:00,PST,767,A
USGS,14105700,11/23/22 7:00,PST,768,A
USGS,14105700,11/23/22 8:00,PST,768,A
USGS,14105700,11/23/22 9:00,PST,769,A
USGS,14105700,11/23/22 10:00,PST,770,A
USGS,14105700,11/23/22 11:00,PST,770,A
USGS,14105700,11/23/22 12:00,PST,769,A
USGS,14105700,11/23/22 13:00,PST,769,A
USGS,14105700,11/23/22 14:00,PST,769,A
USGS,14105700,11/23/22 15:00,PST,769,A
USGS,14105700,11/23/22 16:00,PST,769,A
USGS,14105700,11/23/22 17:00,PST,769,A
USGS,14105700,11/23/22 18:00,PST,770,A
USGS,14105700,11/23/22 19:00,PST,770,A
USGS,14105700,11/23/22 20:00,PST,770,A
